2018-04-19 18.31.13 1760850969274639363_leeum.jpg;직원들과 #리움미술관 에서 #관람중직방생활은 이렇게~#슬기로운직장생활 ~ㅋㅋ.......#이태원 #미술관 #leeummuseum#leeum #관람 #나인뮤즈스튜디오#고미술 #현대미술 #그림 #작가#화가
2018-04-19 18.31.13 1760850973771037290_leeum.jpg;직원들과 #리움미술관 에서 #관람중직방생활은 이렇게~#슬기로운직장생활 ~ㅋㅋ.......#이태원 #미술관 #leeummuseum#leeum #관람 #나인뮤즈스튜디오#고미술 #현대미술 #그림 #작가#화가
2018-04-19 18.31.13 1760850977780810183_leeum.jpg;직원들과 #리움미술관 에서 #관람중직방생활은 이렇게~#슬기로운직장생활 ~ㅋㅋ.......#이태원 #미술관 #leeummuseum#leeum #관람 #나인뮤즈스튜디오#고미술 #현대미술 #그림 #작가#화가
2018-04-19 18.31.13 1760854816694718106_leeum.jpg;직원들과 #리움미술관 에서 #관람중직방생활은 이렇게~#슬기로운직장생활 ~ㅋㅋ.......#이태원 #미술관 #leeummuseum#leeum #관람 #나인뮤즈스튜디오#고미술 #현대미술 #그림 #작가#화가
2018-04-19 18.46.39 1760862584226765998_leeum.jpg;Olafur Eliasson - Gravity Stairs @ Leeum. #leeum #leeummuseum #olafureliasson #contemporaryart #installation #lightart #artmuseum #art
2018-04-19 18.50.05 1760864316642138197_leeum.jpg;At Leeum. These pieces are outside so you don’t even need to pay to see them! #anishkapoor #leeummuseum #leeum #contemporaryart
2018-04-19 19.13.07 1760875903079698519_leeum.jpg;#leeum #art #museum
2018-04-19 23.34.03 1761007237465276275_leeum.jpg;Picture I took at #leeum #museum #seoul #miror #sculpture #art #artofvisuals #picoftheday #instagood #citygrammers #shotzdelight #ig_color #gramslayers #moodygrams #master_shots #theimaged #urbanromantix #globalcapture #viewbugfeature #viewbug
2018-04-20 13.50.12 1761438154823198794_leeum.jpg;#leeum
2018-04-20 14.08.51 1761447535686135616_leeum.jpg;There’re thousands way to take a selfie here #leeum
2018-04-20 17.25.38 1761546585451092629_leeum.jpg;.오랜만에 콧바람🌿.#리움미술관 #leeum#콧바람에미세먼지추가#서둘러도서관으로가자#완전놀고싶다놀고싶어
2018-04-21 02.04.21 1761807659534418696_leeum.jpg;큰 나무와 눈 (아니쉬 카푸어, 2011)라고 합니다....😂-#이태원 #한강진 #리움미술관 #큰나무와눈 #Itaewon #Leeum #TallTreeandtheEye #6DMark2 #24105mmF4L
2018-04-21 14.22.06 1762178988287875721_leeum.jpg;Miracle is coming soon💰 #leeum #leeummuseum #seoul #great #goodvibes #swagger #art
2018-04-21 15.24.29 1762210378953036142_leeum.jpg;：💙Beautiful memories in Seoul.一些關於旅行的記憶，在首爾。這趟旅程最愛最愛的照片之一，還有在照片裡好喜歡的攝影師。*#每人都是每人眼中的風景#korea #seoul #welltravelled #passionpassport #seoul_korea #leeum #traveladdict #travelgram#samsung #galaxys9 #kk_s9 #dowhatyoucant #withgalaxy #samsungmobile #手機界的單眼
2018-04-21 18.33.11 1762304863419882387_leeum.jpg;날씨가 미친듯이 좋아서 2탄! 그냥 햇살을 맞으며 바람따라 걸어본다 ...#한남동 #대사관이즐비한동네 #이태원 #외국인이즐비한동네 #리움 #리움미술관 #leeum #서울하늘맑음🌞
2018-04-21 18.33.11 1762304876220813499_leeum.jpg;날씨가 미친듯이 좋아서 2탄! 그냥 햇살을 맞으며 바람따라 걸어본다 ...#한남동 #대사관이즐비한동네 #이태원 #외국인이즐비한동네 #리움 #리움미술관 #leeum #서울하늘맑음🌞
2018-04-21 18.33.11 1762305110623681661_leeum.jpg;날씨가 미친듯이 좋아서 2탄! 그냥 햇살을 맞으며 바람따라 걸어본다 ...#한남동 #대사관이즐비한동네 #이태원 #외국인이즐비한동네 #리움 #리움미술관 #leeum #서울하늘맑음🌞
2018-04-21 18.33.11 1762305328970777186_leeum.jpg;날씨가 미친듯이 좋아서 2탄! 그냥 햇살을 맞으며 바람따라 걸어본다 ...#한남동 #대사관이즐비한동네 #이태원 #외국인이즐비한동네 #리움 #리움미술관 #leeum #서울하늘맑음🌞
2018-04-21 18.33.11 1762305343608931828_leeum.jpg;날씨가 미친듯이 좋아서 2탄! 그냥 햇살을 맞으며 바람따라 걸어본다 ...#한남동 #대사관이즐비한동네 #이태원 #외국인이즐비한동네 #리움 #리움미술관 #leeum #서울하늘맑음🌞
2018-04-21 18.33.11 1762305356695747759_leeum.jpg;날씨가 미친듯이 좋아서 2탄! 그냥 햇살을 맞으며 바람따라 걸어본다 ...#한남동 #대사관이즐비한동네 #이태원 #외국인이즐비한동네 #리움 #리움미술관 #leeum #서울하늘맑음🌞
2018-04-21 19.03.08 1762320432550958457_leeum.jpg;Twilight Zone/ Heading towards the unknown. #leeum #contemporaryart #futureisunknown #seoul #southkorea #itaewon #watchyourstep
2018-04-21 19.20.55 1762329380519167805_leeum.jpg;리움미술관🎫.#leeum #리움 #미술관 #셀카 #selfie
2018-04-21 19.37.47 1762337870125653586_leeum.jpg;One ~ ๑#leeum#museum#itaewon
2018-04-21 21.57.26 1762408157172379363_leeum.jpg;Leeum #leeum #samsung #museum #seul #korea
2018-04-22 03.07.05 1762564009172099526_leeum.jpg;#pstagram 👍🏻 awesome place in seoul 👏🏻😍 #leeum#samsungartmuseum#itaewon#museum#arts#exhibition#seoul#southkorea#artwork#artaholic#yellow#lights#springtrip2018#southkoreatravel#artshape#seoulmustvisit
2018-04-22 06.26.33 1762664379544820309_leeum.jpg;#美術館#leeum#サムスン美術館 #三星美術館#梨泰院 #이태원#ソウル#서울#seoul#韓国#한국#korea#canonpowershot
2018-04-22 06.26.33 1762664380031311533_leeum.jpg;#美術館#leeum#サムスン美術館 #三星美術館#梨泰院 #이태원#ソウル#서울#seoul#韓国#한국#korea#canonpowershot
2018-04-22 06.26.33 1762664395298719951_leeum.jpg;#美術館#leeum#サムスン美術館 #三星美術館#梨泰院 #이태원#ソウル#서울#seoul#韓国#한국#korea#canonpowershot
2018-04-22 06.26.33 1762664396775061109_leeum.jpg;#美術館#leeum#サムスン美術館 #三星美術館#梨泰院 #이태원#ソウル#서울#seoul#韓国#한국#korea#canonpowershot
